artist_name,artist_id,genres,popularity,followers,time_range
Oxlade,3WTrdbZU99dgTtt3ZkyamT,"afrobeats, afrobeat, afropop",62,1534233,Last 4 weeks
Ferreck Dawn,3cnAJv9gydgm52KFIsdvO8,"tech house, house",50,67362,Last 4 weeks
MK,1yqxFtPHKcGcv6SXZNdyT9,house,69,356169,Last 4 weeks
Sonny Fodera,39B7ChWwrWDs7zXlsu3MoP,house,68,310659,Last 4 weeks
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,house,43,47306,Last 4 weeks
Mat.Joe,38jpuy3yt3QIxQ8Fn1HTeJ,"tech house, house",40,38903,Last 4 weeks
Maxinne,3sv9dCyzqOsGcJHPl5seiq,tech house,32,8701,Last 4 weeks
Low Steppa,5OImcY3khBn9UFjzgaapob,"house, tech house",44,80710,Last 4 weeks
Diplo,5fMUXHkw8R8eOP2RNVYEZX,moombahton,78,2822264,Last 4 weeks
Babyboy AV,5p1CMGIDFgalZneW5P1EwX,"afrobeats, afrobeat, afropop",56,259377,Last 4 weeks
Omah Lay,5yOvAmpIR7hVxiS6Ls5DPO,"afrobeats, afrobeat, afropop",74,5669899,Last 4 weeks
Calvin Harris,7CajNmpbOovFoOoasH2HaY,edm,85,23099246,Last 4 weeks
CHANEY,2dUjApyXX9UqIsFGzoHyhX,"disco house, funky house",45,16203,Last 4 weeks
Secondcity,2ew9JvyyuOGkhahuwdovDq,house,46,82290,Last 4 weeks
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,house,61,523160,Last 4 weeks
Soul Legend,55KBAeJzZBcJ5AhPW5OOpy,"jazz house, lo-fi house, jazz beats",47,14338,Last 4 weeks
Disciples,5EehXjjMktLuJmbRsM7YfB,house,63,273948,Last 4 weeks
Duke Dumont,61lyPtntblHJvA7FMMhi7E,house,67,798333,Last 4 weeks
Disclosure,6nS5roXSAGhTGr34W6n7Et,house,74,2347564,Last 4 weeks
Kungs,7keGfmQR4X5w0two1xKZ7d,Unknown,67,983633,Last 4 weeks
KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,Unknown,72,1838791,Last 6 months
Kelvin Momo,4VlxI0WKDh7HFgHjXcfj6v,"private school piano, amapiano, 3 step",64,3809680,Last 6 months
Jungle,59oA5WbbQvomJz2BuRG071,Unknown,70,1749711,Last 6 months
Oxlade,3WTrdbZU99dgTtt3ZkyamT,"afrobeats, afrobeat, afropop",62,1534233,Last 6 months
Omah Lay,5yOvAmpIR7hVxiS6Ls5DPO,"afrobeats, afrobeat, afropop",74,5669899,Last 6 months
melvitto,4Xj0nxVO4r7PLEaw7LRiBa,"afrobeats, afrobeat, alté",61,223273,Last 6 months
Gaba Cannal,2Hj2zBCjnAnmLmNIyjuMGo,"private school piano, amapiano, gqom",45,484210,Last 6 months
Marvin Gaye,3koiLjNrgRTNbOwViDipeA,"motown, classic soul, soul",74,6001550,Last 6 months
MK,1yqxFtPHKcGcv6SXZNdyT9,house,69,356169,Last 6 months
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,house,43,47306,Last 6 months
Tchami,1KpCi9BOfviCVhmpI4G2sY,"future house, bass house, g-house",57,422236,Last 6 months
Odeal,2BPwxhCvvcb8xDl8GWIjbh,"afroswing, alté, uk r&b",66,305858,Last 6 months
Mpho.Wav,4l8MDydHy2RGwcGscG0uCB,"afro tech, 3 step, afro house",34,13260,Last 6 months
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,house,61,523160,Last 6 months
Drake,3TVXtAsR1Inumwj472S9r4,rap,96,103654256,Last 6 months
Yarden,1nN9bKS2bD4OHNrKkS0Djd,"afrobeats, afro r&b, afrobeat",49,51979,Last 6 months
Artwork Sounds,0OxQiJ0uuDuuQ3dqkIbjwR,"3 step, private school piano, deep house",48,221774,Last 6 months
Mobb Deep,6O2zJ0tId7g07yzHtX0yap,"east coast hip hop, old school hip hop, hardcore hip hop",70,2425427,Last 6 months
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,Unknown,86,37783128,Last 6 months
Dlala Thukzin,5kmceQl1Y7lveTVbcy5ycD,"3 step, gqom, amapiano",62,1486681,Last 6 months
Drake,3TVXtAsR1Inumwj472S9r4,rap,96,103654256,All time
Kabza De Small,1bNjWBFWsAAzZSR59lRdpR,"amapiano, private school piano, 3 step",68,6779016,All time
Kelvin Momo,4VlxI0WKDh7HFgHjXcfj6v,"private school piano, amapiano, 3 step",64,3809680,All time
KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,Unknown,72,1838791,All time
Gaba Cannal,2Hj2zBCjnAnmLmNIyjuMGo,"private school piano, amapiano, gqom",45,484210,All time
Tee Jay,2FgJA67LUo0uQ6WXafNTKQ,"amapiano, private school piano, gqom",40,137658,All time
Artwork Sounds,0OxQiJ0uuDuuQ3dqkIbjwR,"3 step, private school piano, deep house",48,221774,All time
Jungle,59oA5WbbQvomJz2BuRG071,Unknown,70,1749711,All time
MK,1yqxFtPHKcGcv6SXZNdyT9,house,69,356169,All time
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,Unknown,86,37783128,All time
De Mthuda,1w2P5nNsO5W7FYq2Oui0cM,"amapiano, private school piano, gqom",53,1476476,All time
DJ Maphorisa,0mMqD2uqwvCjFvlzo6ayGi,"amapiano, gqom, private school piano",70,3659234,All time
Omah Lay,5yOvAmpIR7hVxiS6Ls5DPO,"afrobeats, afrobeat, afropop",74,5669899,All time
New Edition,1mFX1QlezK1lNPKQJkhwWb,"new jack swing, quiet storm",58,1783423,All time
Tchami,1KpCi9BOfviCVhmpI4G2sY,"future house, bass house, g-house",57,422236,All time
Dlala Thukzin,5kmceQl1Y7lveTVbcy5ycD,"3 step, gqom, amapiano",62,1486681,All time
Marvin Gaye,3koiLjNrgRTNbOwViDipeA,"motown, classic soul, soul",74,6001550,All time
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,house,43,47306,All time
Caiiro,0fs9otT9TtwXUOcFXZomZY,"afro tech, afro house, 3 step",50,286837,All time
Oxlade,3WTrdbZU99dgTtt3ZkyamT,"afrobeats, afrobeat, afropop",62,1534233,All time
