track_name,artist_name,played_at,duration_min
"Baby, Come To Me",Patti Austin,2025-11-18T19:38:45.157Z,3.59
My Love Is Your Love,Whitney Houston,2025-11-18T19:28:16.567Z,4.36
Baby Come Back,Player,2025-11-18T17:21:11.223Z,3.57
Ain't Nobody,Chaka Khan,2025-11-18T17:17:41.263Z,4.68
Floating Clouds,InQfive,2025-11-18T17:06:01.053Z,6.44
I Want U,Artwork Sounds,2025-11-18T17:05:59.932Z,6.94
Pacman,Gvin Deep,2025-11-18T17:05:58.955Z,6.97
We Meet Again - Nostalgic Mix,The Godfathers Of Deep House SA,2025-11-18T16:24:23.162Z,7.86
Change,CocoSA,2025-11-18T16:16:23.544Z,6.37
My Name On it,Shazmicsoul,2025-11-18T16:08:22.854Z,7.9
Ginger,Luu Deep,2025-11-18T16:00:52.972Z,6.35
Ginger,Luu Deep,2025-11-18T15:57:35.011Z,6.35
The Source,Thabo Tonick,2025-11-18T15:53:57.840Z,5.49
In Love Again,DJ Tears PLK,2025-11-18T15:49:59.055Z,6.85
Thela,BusyExplore,2025-11-18T15:35:27.330Z,6.94
I Don't Care,DJExpo Sa,2025-11-18T15:28:22.669Z,5.23
I Don't Care,DJExpo Sa,2025-11-18T15:25:25.070Z,5.23
It's My House,Exte C,2025-11-18T11:52:34.566Z,6.63
Awesome God (feat. Kabza De Small),Artwork Sounds,2025-11-18T11:52:32.685Z,7.3
LEMME KNOW,Fatso 98,2025-11-18T11:52:31.564Z,6.79
Love Me,House Victimz,2025-11-18T11:02:30.753Z,6.74
One,TimAdeep,2025-11-18T10:15:08.050Z,7.19
Life Is Good,8nine Muzique,2025-11-18T10:08:08.094Z,6.74
So Long,Dwson,2025-11-18T10:01:37.958Z,6.4
So Long,Dwson,2025-11-18T09:52:49.729Z,6.4
Keep You Close,Kudbeu,2025-11-18T09:40:29.110Z,7.46
Seventeen,D.General,2025-11-18T09:20:59.219Z,6.85
Eternity,Jazzuelle,2025-11-18T09:14:29.220Z,7.76
Dark & Lovely,Exte C,2025-11-18T09:06:28.961Z,6.16
Praying in Japan,House Victimz,2025-11-18T08:50:20.586Z,6.74
Nova,Dwson,2025-11-18T08:43:50.502Z,6.17
Nova,Dwson,2025-11-17T20:26:23.284Z,6.17
Nova,Dwson,2025-11-17T19:40:50.262Z,6.17
All On Me,Kudbeu,2025-11-17T14:32:55.113Z,7.0
City Streets,D.General,2025-11-17T14:25:55.176Z,6.93
"Tell Me, Tell Me",China Charmeleon,2025-11-17T14:18:55.061Z,6.57
LEMME KNOW,Fatso 98,2025-11-17T14:01:12.265Z,6.79
The Other Lane,Jazzuelle,2025-11-17T13:48:50.699Z,6.47
We got groove,Deep Essentials,2025-11-17T13:42:21.020Z,6.44
Feel You,Dwson,2025-11-17T13:36:20.721Z,6.85
Feel You,Dwson,2025-11-17T13:35:24.066Z,6.85
Her Voice,KoptjieSA,2025-11-17T11:47:26.288Z,7.36
Peaceful - 8nine Muzique Retouch,Citizen Sthee,2025-11-17T11:38:50.546Z,6.12
One By One,Kudbeu,2025-11-17T11:32:50.806Z,7.24
Groove At Siyabuswa,Bhutlish,2025-11-17T11:25:50.431Z,6.48
Nocturnal,Dwson,2025-11-17T11:12:50.386Z,7.88
Nocturnal,Dwson,2025-11-17T11:08:23.575Z,7.88
Learn to Praise,Tekniq,2025-11-17T10:35:18.735Z,7.38
New Day,Dwson,2025-11-17T10:28:18.289Z,5.68
Take Me To The River,Kelvin Momo,2025-11-17T10:19:48.336Z,7.51
